,id,Category,Name,Subcategory_ID,Hierarchy_Level
0,1,1,Ale,1,3
1059,2,1,Weissbier/Weizen/Wheat Beer,2,3
1709,3,1,Flavoured/Mixed Lager,3,3
2402,4,1,Standard Lager,4,3
3773,5,1,Sorghum,5,3
3797,6,1,Stout,6,2
4185,7,1,Non Alcoholic Beer,7,2
5132,8,1,Lager,8,2
6527,9,1,Dark Beer,9,2
7686,10,1,Premium Lager,10,4
8778,11,1,Mid-Priced Lager,11,4
9848,12,1,Economy Lager,12,4
10827,13,1,Beer,13,1
12457,14,2,Wine,14,1
15330,15,3,Spirits,15,1
18676,16,4,RTDs/High-Strength Premixes,16,1
20485,17,5,Cider/Perry,17,1
